Date/Time,Latitude,Longitude,Temperature,Humidity,Pressure,Compass,MagX,MagY,MagZ,Pitch,Roll,Yaw,AccelX,AccelY,AccelZ,R,G,B,C,Motion
2022-01-31 12:21:15,6.833,152.032,32.7,57.5,1013.6,117,-5.4,-10.6,-4.4,0,360,117,0,0,0,29,27,24,84,1
2022-01-31 12:21:20,6.567,152.223,32.9,57.7,1013.6,117.1,-11.7,-21.7,-8.9,0,360,117,0,0,0,29,28,24,85,1
2022-01-31 12:21:25,6.308,152.409,32.7,57.6,1013.6,117.1,-14,-26.1,-11.8,0,360,117,0,0,0,29,28,24,87,1
2022-01-31 12:21:30,6.048,152.595,32.8,58,1013.6,117.2,-14.9,-27.8,-12.2,0,360,117,0,0,0,29,27,24,85,1
2022-01-31 12:21:35,5.789,152.78,32.7,57.8,1013.6,117.2,-15.4,-28.7,-12.4,0,360,117,0,0,0,29,27,24,85,1
2022-01-31 12:21:40,5.529,152.966,32.7,57.5,1013.6,117.3,-15.6,-29.1,-12.4,0,360,117,0,0,0,29,28,24,86,1
2022-01-31 12:21:45,5.269,153.151,32.7,58.7,1013.6,117.3,-14.8,-29.4,-12.8,0,360,117,0,0,0,29,28,24,86,1
2022-01-31 12:21:51,5.009,153.336,32.8,57.6,1013.6,117.3,-14.8,-29.3,-13.1,0,360,117,0,0,0,29,28,24,86,1
2022-01-31 12:21:56,4.75,153.521,32.8,57.7,1013.5,117.3,-14.7,-29.3,-13,0,360,117,0,0,0,29,28,24,85,1
2022-01-31 12:22:01,4.49,153.705,32.7,57.5,1013.5,117.2,-15.3,-29.2,-13.3,0,360,117,0,0,0,29,28,24,86,1
2022-01-31 12:22:06,4.229,153.89,32.9,57.8,1013.6,117.3,-15.7,-29.4,-13.7,0,360,117,0,0,0,29,27,24,85,1
2022-01-31 12:22:11,3.969,154.075,32.8,57.7,1013.6,117.3,-15.7,-29.5,-13.9,0,360,117,0,0,0,29,28,24,85,1
2022-01-31 12:22:16,3.709,154.259,32.8,57.6,1013.5,117.3,-15.5,-29.2,-13.7,0,360,117,0,0,0,29,27,24,85,1
2022-01-31 12:22:21,3.449,154.443,32.8,57.7,1013.5,117.4,-15.5,-29.1,-14,0,360,117,0,0,0,29,27,24,85,1
2022-01-31 12:22:26,3.189,154.627,32.8,57.5,1013.5,117.4,-15.4,-29.1,-13.9,0,360,117,0,0,0,29,28,24,86,1
2022-01-31 12:22:31,2.928,154.811,32.8,57.8,1013.5,117.4,-15.8,-29.1,-14.1,0,360,117,0,0,0,29,27,24,85,1
2022-01-31 12:22:37,2.668,154.995,32.8,57.6,1013.6,117.5,-16.1,-29.2,-14.3,0,360,117,0,0,0,29,27,24,85,1
2022-01-31 12:22:42,2.408,155.178,32.7,57.6,1013.6,117.5,-16.3,-29.3,-14.8,0,360,118,0,0,0,29,28,24,86,1
2022-01-31 12:22:47,2.148,155.362,32.8,57.6,1013.6,117.6,-16.1,-29.2,-15,0,360,118,0,0,0,29,28,24,85,1
2022-01-31 12:22:52,1.888,155.545,32.8,57.7,1013.6,117.6,-16,-29.1,-15.4,0,360,118,0,0,0,29,28,24,86,1
2022-01-31 12:22:57,1.627,155.729,32.7,57.7,1013.6,117.7,-15.8,-29.4,-15.8,0,360,118,0,0,0,29,28,25,87,1
2022-01-31 12:23:02,1.367,155.912,32.9,57.6,1013.5,117.7,-16,-29.6,-15.4,0,360,118,0,0,0,29,28,24,86,1
2022-01-31 12:23:07,1.106,156.096,32.8,57.8,1013.5,117.7,-16.1,-29.4,-15.7,0,360,118,0,0,0,29,28,24,85,1
2022-01-31 12:23:12,0.846,156.279,32.9,57.7,1013.6,117.8,-16.3,-29.6,-15.7,0,360,118,0,0,0,29,28,24,86,1
2022-01-31 12:23:17,0.585,156.463,32.8,58,1013.6,117.8,-16.4,-29.2,-15.9,0,360,118,0,0,0,29,28,24,85,1
2022-01-31 12:23:23,0.325,156.646,32.7,57.2,1013.6,117.9,-16.2,-29.3,-16.4,0,360,118,0,0,0,29,28,24,85,1
2022-01-31 12:23:28,0.065,156.829,32.9,57.8,1013.5,117.9,-16.3,-29.3,-16.9,0,360,118,0,0,0,29,27,24,86,1
2022-01-31 12:23:33,-0.196,157.013,32.8,57.5,1013.5,118,-16.1,-29.3,-17.4,0,360,118,0,0,0,29,28,24,86,1
2022-01-31 12:23:38,-0.457,157.196,32.8,57.6,1013.5,118,-16.2,-29.1,-17,0,360,118,0,0,0,29,27,25,85,1
2022-01-31 12:23:43,-0.717,157.38,32.9,57.5,1013.6,118,-16.2,-29.1,-16.9,0,360,118,0,0,0,30,28,25,88,1
2022-01-31 12:23:48,-0.978,157.563,32.9,57.7,1013.6,118.1,-16.2,-28.6,-17.4,0,360,118,0,0,0,29,28,24,86,1
2022-01-31 12:23:53,-1.238,157.746,32.9,57.7,1013.5,118.2,-16.4,-28.6,-17.6,0,360,118,0,0,0,30,28,25,87,1
2022-01-31 12:23:58,-1.499,157.93,32.9,57.6,1013.6,118.2,-16.3,-28.6,-18.3,0,360,118,0,0,0,29,28,24,85,1
2022-01-31 12:24:04,-1.759,158.113,32.9,57.9,1013.5,118.3,-16.6,-28.8,-18.3,0,360,118,0,0,0,29,28,24,86,1
2022-01-31 12:24:09,-2.02,158.297,32.8,57.7,1013.5,118.3,-16.7,-28.8,-18.7,0,360,118,0,0,0,30,28,25,87,1
2022-01-31 12:24:14,-2.281,158.481,32.8,57.6,1013.5,118.4,-16.5,-28.7,-19.3,0,360,118,0,0,0,29,28,24,86,1
2022-01-31 12:24:19,-2.541,158.665,32.9,57.2,1013.5,118.5,-16.3,-28.7,-19.4,0,360,118,0,0,0,29,28,24,85,1
2022-01-31 12:24:24,-2.801,158.848,32.9,57.8,1013.6,118.5,-16.9,-28.5,-18.9,0,360,119,0,0,0,29,27,24,85,1
2022-01-31 12:24:29,-3.061,159.032,32.9,57.7,1013.5,118.6,-16.6,-28.6,-18.9,0,360,119,0,0,0,29,27,24,85,1
2022-01-31 12:24:34,-3.321,159.216,32.9,57.8,1013.6,118.7,-16.6,-28.6,-19.2,0,360,119,0,0,0,29,28,25,86,1
2022-01-31 12:24:39,-3.581,159.4,32.8,57.5,1013.5,118.7,-16.6,-28.3,-19.2,0,360,119,0,0,0,29,28,24,86,1
2022-01-31 12:24:44,-3.842,159.584,32.8,57.6,1013.5,118.8,-16.5,-28.5,-19.2,0,360,119,0,0,0,29,28,24,87,1
2022-01-31 12:24:50,-4.101,159.768,32.8,57.6,1013.5,118.8,-16.7,-28.7,-19.6,0,360,119,0,0,0,29,28,24,86,1
